an	Avisa Nordland	5	VEI 4-5	Midt-Norge	2/19/2015	Rekkevidde og dybde	Pulje 2
ba	Bergensavisen	5	VEI 4-5	Vest	#N/A	Rekkevidde og dybde	Bergensavisen
dt	Drammens Tidende	5	VEI 4-5	Buskerud	9/17/2014	Rekkevidde og dybde	Pulje 1
fb	Fredriksstad Blad	5	VEI 4-5	Follo/Østfold	4/23/2015	Rekkevidde og dybde	Pulje 3
havis	Haugesunds Avis	5	VEI 4-5	Haugalandet	9/22/2014	Rekkevidde og dybde	Pulje 1
nordlys	Nordlys	5	VEI 4-5	Nord	8/30/2014	Rekkevidde og dybde	Pulje 1
oa	Oppland Arbeiderblad	5	VEI 4-5	Romerike/Innlandet	2/3/2015	Rekkevidde og dybde	Pulje 2
rb	Romerikes Blad	5	VEI 4-5	Romerike/Innlandet	4/16/2015	Rekkevidde og dybde	Pulje 3
ta	Telemarksavisa	5	VEI 4-5	Telemark og Agder	8/30/2015	Rekkevidde og dybde	Pulje 4
tb	Tønsbergs Blad	5	VEI 4-5	Vestfold	9/30/2014	Rekkevidde og dybde	Pulje 1
